"variables";"Chisq";"Df";"Pr..Chisq.";"signi"
"Gender";0,487353553021788;2;0,783740916800908;"ns."
"Age_class";0,363074257440127;4;0,98538693602111;"ns."
"Education";2,50628337980566;4;0,643511010992677;"ns."
"Experience_diving";1,50194204425578;2;0,471908096987191;"ns."
"Knowledge_corals";2,51578467834239;4;0,641811549934558;"ns."
"Country";0,621963417261153;5;0,986975566510353;"ns."
