"Id_images";"Elo_mean_all";"Elo_sd_all"
"R_Block3_P9050678";1688,583;103,037225218757
"R_Block3_P9050703";1686,77;98,9323643339869
"R_Block4_P9050808";1684,497;95,8688417882777
"H_GoodControl3_P9050633";1683,484;102,183977752431
"R_Block4_P9050780";1682,854;105,509103184772
"H_Gosong2_P9020482";1679,737;105,247074913167
"R_SalisiNorth_P9082696";1678,283;105,763267630023
"R_Block4_P9050824";1673,784;100,396896769177
"R_Block3_P9050688";1673,275;103,898307172125
"H_GoodControl3_P9050593";1667,874;103,782700740407
"H_Gosong2_P9020460";1666,609;105,943608429991
"R_Block4_P9050791";1664,335;99,8459813662773
"D_BadControl3_P9060902";1661,926;107,256377220445
"R_Block3_P9050654";1659,536;105,43987040143
"H_Gosong2_P9020462";1657,701;100,793883772806
"H_GoodControl3_P9050595";1654,781;106,400545652337
"H_GoodControl3_P9050629";1653,008;103,989584910075
"R_Block4_P9050806";1652,542;103,625240296109
"R_Block3_P9050679";1647,841;97,1471836663024
"R_Block3_P9050673";1644,142;104,02101810792
"R_Block4_P9050807";1642,547;102,769613137271
"R_SalisiNorth_P9082723";1642,511;100,526122875501
"R_Block4_P9050823";1641,358;102,374432161357
"R_Block3_P9050677";1636,725;101,219804503979
"H_Gosong2_P9020472";1628,639;101,760394343069
"R_SalisiNorth_P9082721";1624,058;100,500860986656
"H_GoodControl3_P9050637";1623,959;102,074818577295
"R_Block4_P9050799";1623,926;101,768774225729
"R_Block4_P9050815";1621,615;100,323265160842
"R_SalisiNorth_P9082720";1614,884;104,210509903629
"H_SalisiSouth_P8310190";1612,513;102,259321334536
"R_Block4_P9050810";1611,464;103,379746933701
"R_Block4_P9050803";1608,259;108,714510364366
"R_Block4_P9050794";1607,461;101,000314566552
"H_SalisiSouth_P8310180";1596,959;105,204835327928
"H_H2_P9020497";1596,56;105,270766760456
"H_GoodControl3_P9050583";1596,258;104,966200937918
"R_Block4_P9050813";1595,612;102,889035419765
"R_Block3_P9050701";1590,65;107,114420126326
"H_Gosong2_P9020463";1590,184;110,219265241746
"R_Block4_P9050801";1589,898;98,836897605744
"H_Gosong2_P9020496";1589,757;104,607823549426
"R_SalisiNorth_P9082708";1586,149;99,7878771165086
"H_H2_P9020491";1583,73;103,450389477677
"D_BadControl3_P9060908";1583,274;108,53614614044
"R_Block3_P9050671";1581,561;102,367716729584
"R_SalisiNorth_P9082722";1581,262;109,345314274338
"R_SalisiNorth_P9082684";1581,118;100,285329052774
"H_Gosong2_P9020491";1579,078;102,188416116448
"H_SalisiSouth_P8310178";1578,372;107,43152772417
"R_Block4_P9050816";1578,113;100,155555843729
"H_GoodControl3_P9050590";1577,169;105,113887609432
"R_Block4_P9050790";1575,82;98,8119294285735
"H_SalisiSouth_P8310160";1575,393;102,649088580398
"H_Gosong2_P9020497";1572,111;101,141822938621
"R_Block4_P9050793";1568,714;100,663525416853
"D_SouthEast_P9020391";1566,755;100,53539844921
"R_Block4_P9050814";1559,788;101,10517945839
"H_GoodControl3_P9050626";1559,67;108,871806130743
"H_GoodControl3_P9050624";1557,838;102,701769261339
"R_Block4_P9050822";1551,29;100,751132453639
"H_SalisiSouth_P8310197";1547,353;104,920058185314
"H_H2_P9020496";1540,187;109,092736954649
"R_Block3_P9050698";1539,407;104,957970285856
"R_Block4_P9050802";1536,121;101,131438865107
"H_SalisiSouth_P8310182";1534,321;100,718927025963
"H_GoodControl3_P9050628";1525,809;102,214599462813
"H_Gosong2_P9020465";1521,796;105,0574292825
"H_SalisiSouth_P8310194";1512,608;98,2989981079616
"D_BadControl3_P9060881";1504,792;102,157480817055
"D_BadControl3_P9060893";1502,527;91,711800360288
"R_Block4_P9050779";1501,964;99,1802471534802
"H_SalisiSouth_P8310195";1495,362;102,444696650788
"H_GoodControl3_P9050589";1489,514;99,3785686348113
"R_SalisiNorth_P9082687";1486,051;100,919637197981
"H_SalisiSouth_P8310148";1482,784;109,086925437017
"D_BadControl3_P9060909";1481,927;96,1299674484582
"R_Block4_P9050777";1471,681;106,328928707479
"R_Block4_P9050772";1466,263;94,9887398152628
"H_Gosong2_P9020456";1465,857;101,781747258902
"D_BadControl3_P9060874";1458,096;103,156861730678
"D_BadControl3_P9060910";1455,214;108,319579648997
"D_BadControl3_P9060869";1454,288;97,7070505323118
"R_SalisiNorth_P9082728";1453,435;108,024131507677
"H_GoodControl3_P9050579";1445,04;99,3058812863471
"D_SalisiEast_P9082659";1437,676;105,767659621558
"R_Block4_P9050789";1434,669;99,1345302813005
"H_SalisiSouth_P8310170";1432,312;101,934465669327
"D_BadControl3_P9060907";1431,329;89,1675591939838
"H_GoodControl3_P9050630";1428,367;96,278189642311
"D_BadControl3_P9060882";1428,258;94,4688297577344
"R_SalisiNorth_P9082686";1424,677;102,449610021676
"R_Block4_P9050773";1422,868;98,4578718464325
"D_BadControl3_P9060898";1405,921;99,0222205323591
"H_SalisiSouth_P8310152";1403,473;97,4524306892714
"D_SalisiEast_P9082630";1398,154;100,132486230987
"R_Block4_P9050795";1395,631;94,4606566494996
"D_BadControl3_P9060872";1394,485;91,3578898565364
"D_BadControl3_P9060886";1375,44;94,3664104404709
"D_SalisiEast_P9082658";1362,654;98,7987422767895
"H_GoodControl3_P9050603";1356,304;115,158747479821
"D_BadControl3_P9060891";1325,713;86,5624727736719
"D_BadControl3_P9060887";1323,006;93,6441198644377
"D_SalisiEast_P9082628";1320,401;91,7883614752018
"H_Gosong2_P9020473";1309,194;99,603399546407
"D_SalisiEast_P9082660";1301,429;93,9976836072226
"D_BadControl3_P9060878";1270,919;90,7410401933732
"D_SalisiEast_P9082657";1251,757;89,1817994006868
"D_BadControl3_P9060901";1213,311;91,923850404959
"D_BadControl3_P9060899";1205,005;90,534122862059
"D_SouthEast_P9020407";1196,235;93,6353851936348
"D_BadControl3_P9060870";1194,085;91,1902485819423
"D_SalisiEast_P9082615";1170,017;86,6311240990365
"D_BadControl3_P9060895";1168,831;90,1437759323368
"D_SouthEast_P9020422";1163,587;95,8182423475121
"D_BadControl3_P9060897";1140,202;80,711904993053
"D_BadControl3_P9060905";1132,7;88,4715163722721
"D_SalisiEast_P9082616";1122,327;90,3820612067903
"D_BadControl3_P9060859";1095,955;90,0317649149104
"D_SalisiEast_P9082625";1094,098;83,1926403680723
"D_SouthEast_P9020400";1093,34;118,558857124226
"D_BadControl3_P9060888";1084,984;81,9651391021087
"D_BadControl3_P9060903";1081,359;93,7449317629024
"D_SouthEast_P9020406";1062,623;95,1369534456034
"D_BadControl3_P9060868";1051,571;85,9960014842043
"D_SouthEast_P9020393";1041,603;94,3755908227501
"D_SouthEast_P9020430";1035,094;90,0185786852276
"D_SouthEast_P9020392";1017,205;74,042455795714
"D_SalisiEast_P9082617";1004,744;94,1104736214054
"D_SalisiEast_P9082623";966,019;93,8462452991954
"D_SouthEast_P9020416";955,638;90,4558855090327
"D_BadControl3_P9060864";949,46;97,5934571725117
"D_BadControl3_P9060865";944,089;94,9969762913773
"D_SalisiEast_P9082640";938,225;91,8813286449078
"D_BadControl3_P9060873";931,96;85,8392146444198
"D_SouthEast_P9020394";931,42;87,1383652284956
"D_SalisiEast_P9082656";930,109;98,0402826190134
"D_SouthEast_P9020431";930,071;87,8363317778024
"D_BadControl3_P9060866";919,467;86,8865938519355
"D_SouthEast_P9020389";911,019;109,341777300642
"D_BadControl3_P9060862";904,998;95,4985023964248
"D_SouthEast_P9020436";900,935;96,3050644589392
